zipcode,place,state
08037,Hammonton,New Jersey
08201,Absecon,New Jersey
08203,Brigantine,New Jersey
08205,Absecon,New Jersey
08213,Cologne,New Jersey
08215,Egg Harbor City,New Jersey
08217,Elwood,New Jersey
08220,Leeds Point,New Jersey
08221,Linwood,New Jersey
08225,Northfield,New Jersey
08231,Oceanville,New Jersey
08232,Pleasantville,New Jersey
08234,Egg Harbor Township,New Jersey
08240,Pomona,New Jersey
08241,Port Republic,New Jersey
08244,Somers Point,New Jersey
08310,Buena,New Jersey
08317,Dorothy,New Jersey
08319,Estell Manor,New Jersey
08326,Landisville,New Jersey
08330,Mays Landing,New Jersey
08340,Milmay,New Jersey
08341,Minotola,New Jersey
08342,Mizpah,New Jersey
08346,Newtonville,New Jersey
08350,Richland,New Jersey
08401,Atlantic City,New Jersey
08402,Margate City,New Jersey
08403,Longport,New Jersey
08404,Atlantic City,New Jersey
08405,Atlantic City,New Jersey
08406,Ventnor City,New Jersey
07010,Cliffside Park,New Jersey
07020,Edgewater,New Jersey
07022,Fairview,New Jersey
07024,Fort Lee,New Jersey
07026,Garfield,New Jersey
07031,North Arlington,New Jersey
07057,Wallington,New Jersey
07070,Rutherford,New Jersey
07071,Lyndhurst,New Jersey
07072,Carlstadt,New Jersey
07073,East Rutherford,New Jersey
07074,Moonachie,New Jersey
07075,Wood Ridge,New Jersey
07401,Allendale,New Jersey
07407,Elmwood Park,New Jersey
07410,Fair Lawn,New Jersey
07417,Franklin Lakes,New Jersey
07423,Ho Ho Kus,New Jersey
07430,Mahwah,New Jersey
07432,Midland Park,New Jersey
07436,Oakland,New Jersey
07446,Ramsey,New Jersey
07450,Ridgewood,New Jersey
07451,Ridgewood,New Jersey
07452,Glen Rock,New Jersey
07458,Saddle River,New Jersey
07463,Waldwick,New Jersey
07481,Wyckoff,New Jersey
07495,Mahwah,New Jersey
07601,Hackensack,New Jersey
07602,Hackensack,New Jersey
07603,Bogota,New Jersey
07604,Hasbrouck Heights,New Jersey
07605,Leonia,New Jersey
07606,South Hackensack,New Jersey
07607,Maywood,New Jersey
07608,Teterboro,New Jersey
07620,Alpine,New Jersey
07621,Bergenfield,New Jersey
07624,Closter,New Jersey
07626,Cresskill,New Jersey
07627,Demarest,New Jersey
07628,Dumont,New Jersey
07630,Emerson,New Jersey
07631,Englewood,New Jersey
07632,Englewood Cliffs,New Jersey
07640,Harrington Park,New Jersey
07641,Haworth,New Jersey
07642,Hillsdale,New Jersey
07643,Little Ferry,New Jersey
07644,Lodi,New Jersey
07645,Montvale,New Jersey
07646,New Milford,New Jersey
07647,Northvale,New Jersey
07648,Norwood,New Jersey
07649,Oradell,New Jersey
07650,Palisades Park,New Jersey
07652,Paramus,New Jersey
07653,Paramus,New Jersey
07656,Park Ridge,New Jersey
07657,Ridgefield,New Jersey
07660,Ridgefield Park,New Jersey
07661,River Edge,New Jersey
07662,Rochelle Park,New Jersey
07663,Saddle Brook,New Jersey
07666,Teaneck,New Jersey
07670,Tenafly,New Jersey
07675,Westwood,New Jersey
07676,Township Of Washington,New Jersey
07677,Woodcliff Lake,New Jersey
07699,Teterboro,New Jersey
08010,Beverly,New Jersey
08011,Birmingham,New Jersey
08015,Browns Mills,New Jersey
08016,Burlington,New Jersey
08019,Chatsworth,New Jersey
08022,Columbus,New Jersey
08036,Hainesport,New Jersey
08041,Jobstown,New Jersey
08042,Juliustown,New Jersey
08046,Willingboro,New Jersey
08048,Lumberton,New Jersey
08052,Maple Shade,New Jersey
08053,Marlton,New Jersey
08054,Mount Laurel,New Jersey
08055,Medford,New Jersey
08057,Moorestown,New Jersey
08060,Mount Holly,New Jersey
08064,New Lisbon,New Jersey
08065,Palmyra,New Jersey
08068,Pemberton,New Jersey
08073,Rancocas,New Jersey
08075,Riverside,New Jersey
08076,Riverton,New Jersey
08077,Riverton,New Jersey
08088,Vincentown,New Jersey
08224,New Gretna,New Jersey
08505,Bordentown,New Jersey
08511,Cookstown,New Jersey
08515,Chesterfield,New Jersey
08518,Florence,New Jersey
08554,Roebling,New Jersey
08562,Wrightstown,New Jersey
08640,Joint Base Mdl,New Jersey
08641,Joint Base Mdl,New Jersey
08002,Cherry Hill,New Jersey
08003,Cherry Hill,New Jersey
08004,Atco,New Jersey
08007,Barrington,New Jersey
08009,Berlin,New Jersey
08012,Blackwood,New Jersey
08018,Cedar Brook,New Jersey
08021,Clementon,New Jersey
08026,Gibbsboro,New Jersey
08029,Glendora,New Jersey
08030,Gloucester City,New Jersey
08031,Bellmawr,New Jersey
08033,Haddonfield,New Jersey
08034,Cherry Hill,New Jersey
08035,Haddon Heights,New Jersey
08043,Voorhees,New Jersey
08045,Lawnside,New Jersey
08049,Magnolia,New Jersey
08059,Mount Ephraim,New Jersey
08078,Runnemede,New Jersey
08081,Sicklerville,New Jersey
08083,Somerdale,New Jersey
08084,Stratford,New Jersey
08089,Waterford Works,New Jersey
08091,West Berlin,New Jersey
08095,Winslow,New Jersey
08099,Bellmawr,New Jersey
08101,Camden,New Jersey
08102,Camden,New Jersey
08103,Camden,New Jersey
08104,Camden,New Jersey
08105,Camden,New Jersey
08106,Audubon,New Jersey
08107,Oaklyn,New Jersey
08108,Collingswood,New Jersey
08109,Merchantville,New Jersey
08110,Pennsauken,New Jersey
08202,Avalon,New Jersey
08204,Cape May,New Jersey
08210,Cape May Court House,New Jersey
08212,Cape May Point,New Jersey
08214,Dennisville,New Jersey
08218,Goshen,New Jersey
08219,Green Creek,New Jersey
08223,Marmora,New Jersey
08226,Ocean City,New Jersey
08230,Ocean View,New Jersey
08242,Rio Grande,New Jersey
08243,Sea Isle City,New Jersey
08245,South Dennis,New Jersey
08246,South Seaville,New Jersey
08247,Stone Harbor,New Jersey
08248,Strathmere,New Jersey
08250,Tuckahoe,New Jersey
08251,Villas,New Jersey
08252,Whitesboro,New Jersey
08260,Wildwood,New Jersey
08270,Woodbine,New Jersey
08302,Bridgeton,New Jersey
08311,Cedarville,New Jersey
08313,Deerfield Street,New Jersey
08314,Delmont,New Jersey
08315,Dividing Creek,New Jersey
08316,Dorchester,New Jersey
08320,Fairton,New Jersey
08321,Fortescue,New Jersey
08323,Greenwich,New Jersey
08324,Heislerville,New Jersey
08327,Leesburg,New Jersey
08329,Mauricetown,New Jersey
08332,Millville,New Jersey
08345,Newport,New Jersey
08348,Port Elizabeth,New Jersey
08349,Port Norris,New Jersey
08352,Rosenhayn,New Jersey
08353,Shiloh,New Jersey
08360,Vineland,New Jersey
08361,Vineland,New Jersey
08362,Vineland,New Jersey
07003,Bloomfield,New Jersey
07004,Fairfield,New Jersey
07006,Caldwell,New Jersey
07007,Caldwell,New Jersey
07009,Cedar Grove,New Jersey
07017,East Orange,New Jersey
07018,East Orange,New Jersey
07019,East Orange,New Jersey
07021,Essex Fells,New Jersey
07028,Glen Ridge,New Jersey
07039,Livingston,New Jersey
07040,Maplewood,New Jersey
07041,Millburn,New Jersey
07042,Montclair,New Jersey
07043,Montclair,New Jersey
07044,Verona,New Jersey
07050,Orange,New Jersey
07051,Orange,New Jersey
07052,West Orange,New Jersey
07068,Roseland,New Jersey
07078,Short Hills,New Jersey
07079,South Orange,New Jersey
07101,Newark,New Jersey
07102,Newark,New Jersey
07103,Newark,New Jersey
07104,Newark,New Jersey
07105,Newark,New Jersey
07106,Newark,New Jersey
07107,Newark,New Jersey
07108,Newark,New Jersey
07109,Belleville,New Jersey
07110,Nutley,New Jersey
07111,Irvington,New Jersey
07112,Newark,New Jersey
07114,Newark,New Jersey
07175,Newark,New Jersey
07184,Newark,New Jersey
07188,Newark,New Jersey
07189,Newark,New Jersey
07191,Newark,New Jersey
07192,Newark,New Jersey
07193,Newark,New Jersey
07195,Newark,New Jersey
07198,Newark,New Jersey
07199,Newark,New Jersey
08014,Bridgeport,New Jersey
08020,Clarksboro,New Jersey
08025,Ewan,New Jersey
08027,Gibbstown,New Jersey
08028,Glassboro,New Jersey
08032,Grenloch,New Jersey
08039,Harrisonville,New Jersey
08051,Mantua,New Jersey
08056,Mickleton,New Jersey
08061,Mount Royal,New Jersey
08062,Mullica Hill,New Jersey
08063,National Park,New Jersey
08066,Paulsboro,New Jersey
08071,Pitman,New Jersey
08074,Richwood,New Jersey
08080,Sewell,New Jersey
08085,Swedesboro,New Jersey
08086,Thorofare,New Jersey
08090,Wenonah,New Jersey
08093,Westville,New Jersey
08094,Williamstown,New Jersey
08096,Deptford,New Jersey
08097,Woodbury Heights,New Jersey
08312,Clayton,New Jersey
08322,Franklinville,New Jersey
08328,Malaga,New Jersey
08343,Monroeville,New Jersey
08344,Newfield,New Jersey
07002,Bayonne,New Jersey
07029,Harrison,New Jersey
07030,Hoboken,New Jersey
07032,Kearny,New Jersey
07047,North Bergen,New Jersey
07086,Weehawken,New Jersey
07087,Union City,New Jersey
07093,West New York,New Jersey
07094,Secaucus,New Jersey
07096,Secaucus,New Jersey
07097,Jersey City,New Jersey
07099,Kearny,New Jersey
07302,Jersey City,New Jersey
07303,Jersey City,New Jersey
07304,Jersey City,New Jersey
07305,Jersey City,New Jersey
07306,Jersey City,New Jersey
07307,Jersey City,New Jersey
07308,Jersey City,New Jersey
07310,Jersey City,New Jersey
07311,Jersey City,New Jersey
07395,Jersey City,New Jersey
07399,Jersey City,New Jersey
07830,Califon,New Jersey
07979,Pottersville,New Jersey
08530,Lambertville,New Jersey
08551,Ringoes,New Jersey
08556,Rosemont,New Jersey
08557,Sergeantsville,New Jersey
08559,Stockton,New Jersey
08801,Annandale,New Jersey
08803,Baptistown,New Jersey
08804,Bloomsbury,New Jersey
08809,Clinton,New Jersey
08822,Flemington,New Jersey
08825,Frenchtown,New Jersey
08826,Glen Gardner,New Jersey
08827,Hampton,New Jersey
08829,High Bridge,New Jersey
08833,Lebanon,New Jersey
08834,Little York,New Jersey
08848,Milford,New Jersey
08858,Oldwick,New Jersey
08867,Pittstown,New Jersey
08868,Quakertown,New Jersey
08870,Readington,New Jersey
08885,Stanton,New Jersey
08887,Three Bridges,New Jersey
08888,Whitehouse,New Jersey
08889,Whitehouse Station,New Jersey
08520,Hightstown,New Jersey
08525,Hopewell,New Jersey
08534,Pennington,New Jersey
08540,Princeton,New Jersey
08541,Princeton,New Jersey
08542,Princeton,New Jersey
08543,Princeton,New Jersey
08544,Princeton,New Jersey
08550,Princeton Junction,New Jersey
08560,Titusville,New Jersey
08561,Windsor,New Jersey
08601,Trenton,New Jersey
08602,Trenton,New Jersey
08603,Trenton,New Jersey
08604,Trenton,New Jersey
08605,Trenton,New Jersey
08606,Trenton,New Jersey
08607,Trenton,New Jersey
08608,Trenton,New Jersey
08609,Trenton,New Jersey
08610,Trenton,New Jersey
08611,Trenton,New Jersey
08618,Trenton,New Jersey
08619,Trenton,New Jersey
08620,Trenton,New Jersey
08625,Trenton,New Jersey
08628,Trenton,New Jersey
08629,Trenton,New Jersey
08638,Trenton,New Jersey
08644,Trenton,New Jersey
08645,Trenton,New Jersey
08646,Trenton,New Jersey
08647,Trenton,New Jersey
08648,Lawrence Township,New Jersey
08650,Trenton,New Jersey
08666,Trenton,New Jersey
08690,Trenton,New Jersey
08691,Trenton,New Jersey
08695,Trenton,New Jersey
07001,Avenel,New Jersey
07008,Carteret,New Jersey
07064,Port Reading,New Jersey
07067,Colonia,New Jersey
07077,Sewaren,New Jersey
07080,South Plainfield,New Jersey
07095,Woodbridge,New Jersey
08512,Cranbury,New Jersey
08536,Plainsboro,New Jersey
08810,Dayton,New Jersey
08812,Dunellen,New Jersey
08816,East Brunswick,New Jersey
08817,Edison,New Jersey
08818,Edison,New Jersey
08820,Edison,New Jersey
08824,Kendall Park,New Jersey
08828,Helmetta,New Jersey
08830,Iselin,New Jersey
08831,Monroe Township,New Jersey
08832,Keasbey,New Jersey
08837,Edison,New Jersey
08840,Metuchen,New Jersey
08846,Middlesex,New Jersey
08850,Milltown,New Jersey
08852,Monmouth Junction,New Jersey
08854,Piscataway,New Jersey
08855,Piscataway,New Jersey
08857,Old Bridge,New Jersey
08859,Parlin,New Jersey
08861,Perth Amboy,New Jersey
08862,Perth Amboy,New Jersey
08863,Fords,New Jersey
08871,Sayreville,New Jersey
08872,Sayreville,New Jersey
08879,South Amboy,New Jersey
08882,South River,New Jersey
08884,Spotswood,New Jersey
08899,Edison,New Jersey
08901,New Brunswick,New Jersey
08902,North Brunswick,New Jersey
08903,New Brunswick,New Jersey
08904,Highland Park,New Jersey
08906,New Brunswick,New Jersey
08933,New Brunswick,New Jersey
08989,New Brunswick,New Jersey
07701,Red Bank,New Jersey
07702,Shrewsbury,New Jersey
07703,Fort Monmouth,New Jersey
07704,Fair Haven,New Jersey
07710,Adelphia,New Jersey
07711,Allenhurst,New Jersey
07712,Asbury Park,New Jersey
07715,Belmar,New Jersey
07716,Atlantic Highlands,New Jersey
07717,Avon By The Sea,New Jersey
07718,Belford,New Jersey
07719,Belmar,New Jersey
07720,Bradley Beach,New Jersey
07721,Cliffwood,New Jersey
07722,Colts Neck,New Jersey
07723,Deal,New Jersey
07724,Eatontown,New Jersey
07726,Englishtown,New Jersey
07727,Farmingdale,New Jersey
07728,Freehold,New Jersey
07730,Hazlet,New Jersey
07731,Howell,New Jersey
07732,Highlands,New Jersey
07733,Holmdel,New Jersey
07734,Keansburg,New Jersey
07735,Keyport,New Jersey
07737,Leonardo,New Jersey
07738,Lincroft,New Jersey
07739,Little Silver,New Jersey
07740,Long Branch,New Jersey
07746,Marlboro,New Jersey
07747,Matawan,New Jersey
07748,Middletown,New Jersey
07750,Monmouth Beach,New Jersey
07751,Morganville,New Jersey
07752,Navesink,New Jersey
07753,Neptune,New Jersey
07754,Neptune,New Jersey
07755,Oakhurst,New Jersey
07756,Ocean Grove,New Jersey
07757,Oceanport,New Jersey
07758,Port Monmouth,New Jersey
07760,Rumson,New Jersey
07762,Spring Lake,New Jersey
07763,Tennent,New Jersey
07764,West Long Branch,New Jersey
07765,Wickatunk,New Jersey
07799,Eatontown,New Jersey
08501,Allentown,New Jersey
08510,Millstone Township,New Jersey
08514,Cream Ridge,New Jersey
08526,Imlaystown,New Jersey
08535,Millstone Township,New Jersey
08555,Roosevelt,New Jersey
08720,Allenwood,New Jersey
08730,Brielle,New Jersey
08736,Manasquan,New Jersey
08750,Sea Girt,New Jersey
07005,Boonton,New Jersey
07034,Lake Hiawatha,New Jersey
